N_vertices; BlockSize; GridSize; time_sec
500000; 32; 832; 0.007228
500000; 32; 832; 0.005884
500000; 32; 832; 0.007687
500000; 32; 832; 0.005896
500000; 32; 832; 0.005768
500000; 32; 832; 0.005907
500000; 32; 832; 0.005897
500000; 32; 832; 0.005873
500000; 32; 832; 0.005786
500000; 32; 832; 0.005856
500000; 32; 832; 0.005742
500000; 32; 832; 0.005726
500000; 32; 832; 0.005847
500000; 32; 832; 0.005704
500000; 32; 832; 0.005797
500000; 32; 832; 0.005584
500000; 32; 832; 0.005797
500000; 32; 832; 0.005733
500000; 32; 832; 0.006074
