N_vertices; BlockSize; GridSize; time_sec
500000; 128; 208; 0.006370
500000; 128; 208; 0.006369
500000; 128; 208; 0.006286
500000; 128; 208; 0.006464
500000; 128; 208; 0.006391
500000; 128; 208; 0.006380
500000; 128; 208; 0.006502
500000; 128; 208; 0.006647
500000; 128; 208; 0.006566
500000; 128; 208; 0.006303
500000; 128; 208; 0.006209
500000; 128; 208; 0.006427
500000; 128; 208; 0.006132
500000; 128; 208; 0.006302
500000; 128; 208; 0.006462
500000; 128; 208; 0.006360
500000; 128; 208; 0.006504
500000; 128; 208; 0.006730
500000; 128; 208; 0.006422
