dimGraph;timeInt;
5000;0.016147;
5000;0.017062;
5000;0.016773;
5000;0.015788;
5000;0.018441;
5000;0.016432;
5000;0.016215;
5000;0.016865;
5000;0.016712;
5000;0.016714;
5000;0.016596;
5000;0.016330;
5000;0.017566;
5000;0.015792;
5000;0.016616;
5000;0.016792;
5000;0.017832;
5000;0.016742;
5000;0.016833;
5000;0.016663;
5000;0.017541;
5000;0.016145;
5000;0.016144;
5000;0.016308;
5000;0.017444;
5000;0.019958;
5000;0.016047;
5000;0.016612;
5000;0.017328;
5000;0.017172;
5000;0.017032;
5000;0.015809;
5000;0.016185;
5000;0.016721;
5000;0.017121;
5000;0.016218;
5000;0.016483;
5000;0.017904;
5000;0.016737;
5000;0.016464;
5000;0.016521;
5000;0.016634;
5000;0.016953;
5000;0.016586;
5000;0.017544;
5000;0.016123;
5000;0.016230;
5000;0.016153;
5000;0.015891;
5000;0.016842;
